tag	sha256	date	us	commit
v0.1.0	33c59b0f4639b1c11fe370c2daf91688cd52be7452d5fca2364dbf41a655a619	2026-08-24T20:31:38Z	4431	5d5bd96
v0.1.1	1591ee59bcee32f9e6c89d5c7610a7cc139d786c07453e5636edecb1b553da91	2026-08-24T20:32:33Z	4431	5d5bd96
v0.1.2	283fc90c95ec6d385799b79cdf5abb39caa599eaadc4558d26c23b663460d614	2026-08-24T20:33:30Z	4432	5d5bd96
v0.1.3	fd5c0250b57b8644331599a838e06aabe5c56d6fe24d9d15ea8f23b1b723bc64	2026-08-24T20:34:24Z	4436	5d5bd96
v0.1.4	ed78dab397ea7c7870ede49ddde2e721f4e8a7e5ca5ad1f701daaa98b7bc8a5b	2026-08-24T20:35:19Z	4437	5d5bd96
